EYCON_08,,01,02,03,04,05,06,07
DD/MM/YY,HH:MM:SS,"","","","","","",""
"LogTemps",,"T/C 1","T/C 2","T/C 3","T/C 4","T/C 5","T/C 6","Top_Pre2"
28/07/21,10:40:13,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:14,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:14,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:15,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:15,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:15,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:15,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:16,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:16,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:17,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:17,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:17,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:17,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:18,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:18,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:19,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:19,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:20,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:20,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:20,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:21,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:21,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:21,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:22,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:22,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:22,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:23,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:23,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:23,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:24,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:24,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:24,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:25,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:25,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:25,135,2192,2192,2192,2192,2192,1
28/07/21,10:40:26,135,2192,2192,2192,2192,2192,0
28/07/21,10:40:26,135,2192,2192,2192,2192,2192,0
